Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
6390;21101134664;"Proceedings, International Conference on Electrical, Control and Instrumentation Engineering, ICECIE";conference and proceedings;"28329848, 28329821";"Institute of Electrical and Electronics Engineers";No;No;0,136;-;3;67;63;1369;37;60;0,59;20,43;23,36;0;29;United States;Northern America;"Institute of Electrical and Electronics Engineers";"2022-2024";"Control and Optimization; Control and Systems Engineering; Electrical and Electronic Engineering; Energy Engineering and Power Technology; Instrumentation";"Energy; Engineering; Mathematics; Physics and Astronomy"
6391;21101049145;"Proceedings of International Structural Engineering and Construction";conference and proceedings;"2644108X";"ISEC Press";No;No;0,136;-;9;167;470;2028;118;466;0,23;12,14;28,38;0;83;United States;Northern America;"ISEC Press";"2014, 2016-2018, 2020-2024";"Architecture; Building and Construction; Civil and Structural Engineering; Safety, Risk, Reliability and Quality";"Engineering"
6392;25251;"Business Lawyer";journal;"00076899";"American Bar Association";No;No;0,135;Q4;23;21;108;1911;33;102;0,31;91,00;28,13;0;3;United States;Northern America;"American Bar Association";"1979, 1995-2012, 2014-2019, 2022-2024";"Law (Q4); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Social Sciences"
6393;21101169188;"Global Clinical Engineering Journal";journal;"25782762";"International Medical Sciences Group, LLC";No;No;0,135;Q4;1;27;11;458;4;8;0,36;16,96;43,24;0;10;United States;Northern America;"International Medical Sciences Group, LLC";"2023-2024";"Biomedical Engineering (Q4); Health Professions (miscellaneous) (Q4)";"Engineering; Health Professions"
6394;21100198508;"Mathematics Magazine";journal;"0025570X, 19300980";"Taylor and Francis Ltd.";No;No;0,135;Q4;14;99;198;575;28;182;0,13;5,81;17,20;0;2;United States;Northern America;"Taylor and Francis Ltd.";"2010-2025";"Mathematics (miscellaneous) (Q4)";"Mathematics"
6395;12100156741;"Science of Tsunami Hazards";journal;"87556839";"Tsunami Society";Yes;No;0,135;Q4;18;0;57;0;21;57;0,50;0,00;0,00;0;0;United States;Northern America;"Tsunami Society";"2007-2023";"Geology (Q4); Oceanography (Q4)";"Earth and Planetary Sciences"
6396;21100879012;"International Conference on Software, Knowledge Information, Industrial Management and Applications, SKIMA";conference and proceedings;"25733214, 2373082X";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,135;-;11;0;112;0;53;109;0,47;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2017-2018, 2022-2023";"Computer Science Applications; Information Systems; Information Systems and Management; Software";"Computer Science; Decision Sciences"
6397;21100903039;"International Symposium on Advances in Computational Heat Transfer";conference and proceedings;"25785486";"Begell House Inc.";No;No;0,135;-;9;56;37;1037;12;36;0,00;18,52;22,60;0;17;United States;Northern America;"Begell House Inc.";"1997, 2004, 2008, 2012, 2014-2015, 2017, 2021, 2024";"Computer Science Applications; Condensed Matter Physics; Fluid Flow and Transfer Processes; Mechanical Engineering";"Chemical Engineering; Computer Science; Engineering; Physics and Astronomy"
6398;21101181856;"Proceedings IMCIC - International Multi-Conference on Complexity, Informatics and Cybernetics";conference and proceedings;"27715914, 27715922";"International Institute of Informatics and Cybernetics";No;No;0,135;-;2;52;43;1331;7;41;0,16;25,60;41,09;0;20;United States;Northern America;"International Institute of Informatics and Cybernetics";"2023-2024";"Artificial Intelligence; Computer Networks and Communications; Information Systems";"Computer Science"
6399;21100223154;"Proceedings of the Institute of Acoustics";conference and proceedings;"14786095";"Institute of Acoustics";No;No;0,135;-;13;135;253;1933;32;245;0,14;14,32;16,94;0;8;United States;Northern America;"Institute of Acoustics";"2005-2008, 2010-2016, 2018-2024";"Acoustics and Ultrasonics; Electrical and Electronic Engineering";"Engineering; Physics and Astronomy"
6400;21000195302;"Progress in Electromagnetics Research Symposium";conference and proceedings;"19317360, 15599450";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,135;-;26;0;692;0;252;690;0,32;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2006-2015, 2017-2022";"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials";"Engineering; Materials Science"
6401;21101162969;"ASAP Journal";journal;"23814721, 23814705";"Johns Hopkins University Press";No;No;0,134;Q2;2;14;107;739;21;97;0,19;52,79;62,50;0;1;United States;Northern America;"Johns Hopkins University Press";"2019, 2021-2024";"Literature and Literary Theory (Q2); Visual Arts and Performing Arts (Q2); Arts and Humanities (miscellaneous) (Q3)";"Arts and Humanities"
6402;18800156714;"CLCWeb - Comparative Literature and Culture";journal;"14814374";"Purdue University Press";Yes;Yes;0,134;Q2;15;9;106;271;27;101;0,24;30,11;50,00;0;3;United States;Northern America;"Purdue University Press";"2009-2024";"Literature and Literary Theory (Q2); Cultural Studies (Q3)";"Arts and Humanities; Social Sciences"
6403;21100894628;"Journal of Historical Research in Music Education";journal;"15366006, 23282525";"SAGE Publications Ltd";No;No;0,134;Q2;5;17;39;0;7;32;0,24;0,00;66,67;0;3;United States;Northern America;"SAGE Publications Ltd";"2015-2024";"History (Q2); Music (Q3); Education (Q4)";"Arts and Humanities; Social Sciences"
6404;5800157999;"Hispania";journal;"00182133";"Johns Hopkins University Press";No;No;0,134;Q3;19;43;253;752;69;239;0,21;17,49;60,00;0;2;United States;Northern America;"Johns Hopkins University Press";"2010-2024";"Linguistics and Language (Q3); Education (Q4)";"Social Sciences"
6405;21100810708;"Advances in Ophthalmology and Optometry";journal;"24521760";"Elsevier Inc.";No;No;0,134;Q4;7;26;84;1150;16;80;0,14;44,23;45,28;0;2;United States;Northern America;"Elsevier Inc.";"2016-2024";"Ophthalmology (Q4); Optometry (Q4)";"Health Professions; Medicine"
6406;20400195016;"International Journal of Computers and their Applications";journal;"10765204";"International Society for Computers and Their Applications (ISCA)";No;No;0,134;Q4;9;30;82;974;25;81;0,29;32,47;28,21;0;8;United States;Northern America;"International Society for Computers and Their Applications (ISCA)";"2011-2024";"Computer Science (miscellaneous) (Q4)";"Computer Science"
6407;5000158601;"Journal of Pediatric Neurology";journal;"13042580, 13050613";"Thieme Medical Publishers, Inc.";No;No;0,134;Q4;20;42;301;1797;44;288;0,15;42,79;55,75;0;7;United States;Northern America;"Thieme Medical Publishers, Inc.";"2003-2024";"Neurology (clinical) (Q4); Pediatrics, Perinatology and Child Health (Q4)";"Medicine"
6408;21101023659;"U.S. Geological Survey Fact Sheet";journal;"23276916, 23276932";"US Geological Survey";No;No;0,134;Q4;8;48;91;542;16;68;0,15;11,29;45,61;45;7;United States;Northern America;"US Geological Survey";"2019-2025";"Ecology (Q4); Geology (Q4); Water Science and Technology (Q4)";"Earth and Planetary Sciences; Environmental Science"
6409;130018;"Proceedings - International Symposium on Discharges and Electrical Insulation in Vacuum, ISDEIV";conference and proceedings;"10932941";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,134;-;20;0;133;0;55;130;0,41;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2023";"Computer Networks and Communications; Software";"Computer Science"
6410;21100427749;"Brill's Korean Studies Library";book series;"18767079";"Brill Academic Publishers";No;No;0,133;Q2;1;1;24;169;1;1;0,04;169,00;100,00;0;0;United States;Northern America;"Brill Academic Publishers";"2010, 2013, 2015, 2020, 2023-2024";"Literature and Literary Theory (Q2); Visual Arts and Performing Arts (Q2); History (Q3); Linguistics and Language (Q3); Philosophy (Q3); Social Sciences (miscellaneous) (Q4)";"Arts and Humanities; Social Sciences"
6411;16300154779;"Lion and the Unicorn";journal;"01472593, 10806563";"Johns Hopkins University Press";Yes;No;0,133;Q2;17;0;63;0;20;56;0,08;0,00;0,00;0;0;United States;Northern America;"Johns Hopkins University Press";"2002-2023";"Literature and Literary Theory (Q2)";"Arts and Humanities"
6412;4900153503;"Projections";journal;"2638342X, 15356191";"MIT Department of Urban Studies and Planning";No;No;0,133;Q2;8;4;1;199;0;1;0,00;49,75;50,00;0;2;United States;Northern America;"MIT Department of Urban Studies and Planning";"2004, 2006-2008, 2010-2011, 2014, 2016-2017, 2019-2020, 2023-2024";"Visual Arts and Performing Arts (Q2); Cultural Studies (Q3); Geography, Planning and Development (Q4); Urban Studies (Q4)";"Arts and Humanities; Social Sciences"
6413;21100214706;"Review of Middle East Studies";journal;"23293225";"Cambridge University Press";No;No;0,133;Q2;11;1;67;66;16;61;0,16;66,00;100,00;0;0;United States;Northern America;"Cambridge University Press";"2007-2025";"History (Q2); Cultural Studies (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
6414;21100427197;"Brill's Humanities in China Library";book series;"18748023";"Brill Academic Publishers";No;No;0,133;Q3;0;1;2;160;0;1;0,00;160,00;100,00;0;0;United States;Northern America;"Brill Academic Publishers";"2007, 2009, 2011, 2014-2018, 2021, 2023-2024";"Arts and Humanities (miscellaneous) (Q3); Cultural Studies (Q3)";"Arts and Humanities; Social Sciences"
6415;21100900553;"Cultural Studies and Transdisciplinarity in Education";book series;"23457708";"Springer Nature";No;No;0,133;Q3;8;0;59;0;12;1;0,36;0,00;0,00;0;0;United States;Northern America;"Springer Nature";"2014-2023";"Cultural Studies (Q3); Education (Q4); Sociology and Political Science (Q4)";"Social Sciences"
6416;21100258854;"International Journal of Interdisciplinary Social and Community Studies";journal;"23247584, 23247576";"Common Ground Research Networks";No;No;0,133;Q3;7;24;63;1072;25;63;0,46;44,67;40,35;0;18;United States;Northern America;"Common Ground Research Networks";"2012-2025";"Cultural Studies (Q3); Sociology and Political Science (Q4)";"Social Sciences"
6417;16100154785;"Journal of the Society of Christian Ethics";journal;"15407942";"Georgetown University Press";No;No;0,133;Q3;12;24;68;1178;12;59;0,17;49,08;36,36;0;4;United States;Northern America;"Georgetown University Press";"2002-2024";"Philosophy (Q3); Religious Studies (Q3)";"Arts and Humanities"
6418;5700163992;"Nova Religio";journal;"15418480, 10926690";"University of Pennsylvania Press";No;No;0,133;Q3;16;78;148;1325;31;148;0,18;16,99;38,98;0;6;United States;Northern America;"University of Pennsylvania Press";"2009-2025";"Religious Studies (Q3)";"Arts and Humanities"
6419;19900191987;"Advances in Acoustics and Vibration";journal;"16876261, 1687627X";"Hindawi Publishing Corporation";Yes;No;0,133;Q4;18;0;1;0;0;1;0,00;0,00;0,00;0;0;United States;Northern America;"Hindawi Publishing Corporation";"2011-2021";"Acoustics and Ultrasonics (Q4); Building and Construction (Q4); Mechanics of Materials (Q4)";"Engineering; Physics and Astronomy"
6420;11600153426;"Advances in Consumer Research";journal;"00989258";"Sheridan Books";No;No;0,133;Q4;30;0;1;0;0;1;0,00;0,00;0,00;0;0;United States;Northern America;"Sheridan Books";"1993-1994, 2006-2012, 2016-2017, 2021";"Applied Psychology (Q4); Economics and Econometrics (Q4); Marketing (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Psychology"
6421;21101134739;"Annals of Vascular Surgery - Brief Reports and Innovations";journal;"27726878";"Elsevier Inc.";Yes;No;0,133;Q4;4;105;233;1657;58;227;0,21;15,78;26,73;0;28;United States;Northern America;"Elsevier Inc.";"2021-2025";"Cardiology and Cardiovascular Medicine (Q4); Surgery (Q4)";"Medicine"
6422;21101022969;"Annual Review of Heat Transfer";book series;"10490787, 23750294";"Begell House Inc.";No;No;0,133;Q4;31;10;36;1119;47;1;1,52;111,90;66,67;0;2;United States;Northern America;"Begell House Inc.";"1987, 1989-1990, 1992, 1994-2000, 2002-2003, 2005, 2012-2017, 2019-2024";"Condensed Matter Physics (Q4); Energy Engineering and Power Technology (Q4); Mechanical Engineering (Q4)";"Energy; Engineering; Physics and Astronomy"
6423;16560;"Applied Radiology";journal;"01609963";"Anderson Publishing Ltd";Yes;No;0,133;Q4;17;79;246;1140;36;117;0,18;14,43;45,57;0;9;United States;Northern America;"Anderson Publishing Ltd";"1973-1991, 1996-2024";"Radiology, Nuclear Medicine and Imaging (Q4)";"Medicine"
6424;4100151601;"Arab World Geographer";journal;"14806800";"University of Akron";No;No;0,133;Q4;13;13;63;580;24;63;0,35;44,62;29,41;0;7;United States;Northern America;"University of Akron";"2005-2014, 2016-2024";"Earth-Surface Processes (Q4); Geography, Planning and Development (Q4)";"Earth and Planetary Sciences; Social Sciences"
6425;15513;"Biotechnology Law Report";journal;"0730031X, 15578704";"Mary Ann Liebert Inc.";No;No;0,133;Q4;11;36;107;926;19;106;0,23;25,72;37,50;0;3;United States;Northern America;"Mary Ann Liebert Inc.";"1982-1984, 1990, 1992-1993, 1999-2025";"Biotechnology (Q4); Management, Monitoring, Policy and Law (Q4)";"Biochemistry, Genetics and Molecular Biology; Environmental Science"
6426;4700152807;"Foundations and Trends in Electronic Design Automation";journal;"15513947, 15513939";"Now Publishers Inc";No;No;0,133;Q4;19;1;1;58;0;1;0,00;58,00;0,00;0;0;United States;Northern America;"Now Publishers Inc";"2006-2020, 2023-2024";"Computer Graphics and Computer-Aided Design (Q4); Hardware and Architecture (Q4)";"Computer Science"
6427;19900193276;"International Journal of Interdisciplinary Social Sciences";journal;"18331882";"Common Ground Research Networks";No;No;0,133;Q4;17;0;1;0;0;1;0,00;0,00;0,00;0;0;United States;Northern America;"Common Ground Research Networks";"2006-2017, 2019-2021";"Social Sciences (miscellaneous) (Q4)";"Social Sciences"
6428;15268;"Issues in Law and Medicine";journal;"87568160";"Nat. Legal Center Medic. Dependent and Disabled Inc.";No;No;0,133;Q4;17;11;41;593;20;38;0,40;53,91;64,00;0;10;United States;Northern America;"Nat. Legal Center Medic. Dependent and Disabled Inc.";"1985-2012, 2014-2024";"Health Policy (Q4); Issues, Ethics and Legal Aspects (Q4); Medicine (miscellaneous) (Q4)";"Medicine; Nursing"
6429;21100775395;"Journal of Information Technology Education: Discussion Cases";journal;"21661324, 21661316";"Informing Science Institute";No;No;0,133;Q4;2;0;1;0;0;1;0,00;0,00;0,00;0;0;United States;Northern America;"Informing Science Institute";"2012-2017, 2021";"Computer Science (miscellaneous) (Q4); Education (Q4); Sociology and Political Science (Q4)";"Computer Science; Social Sciences"
6430;14131;"Methods in Enzymology";book series;"00766879, 15577988";"Academic Press Inc.";No;No;0,133;Q4;184;267;790;12725;1050;1;1,03;47,66;31,63;0;29;United States;Northern America;"Academic Press Inc.";"1955, 1957, 1962-1964, 1966-2025";"Biochemistry (Q4); Molecular Biology (Q4)";"Biochemistry, Genetics and Molecular Biology"
6431;3200147827;"National Interest";journal;"08849382";"National Interest";No;No;0,133;Q4;18;0;2;0;0;1;0,00;0,00;0,00;0;0;United States;Northern America;"National Interest";"2004-2021";"Geography, Planning and Development (Q4); Political Science and International Relations (Q4)";"Social Sciences"
6432;21101034071;"Neurographics";journal;"26378329";"American Society of Neuroradiology";No;No;0,133;Q4;3;29;80;1465;20;79;0,21;50,52;33,66;0;6;United States;Northern America;"American Society of Neuroradiology";"2019-2024";"Radiology, Nuclear Medicine and Imaging (Q4)";"Medicine"
